"id","firstname","lastname","birthyear","zipcode","gamma.1","gamma.2","gamma.3","gamma.4","posterior","firstname_a","lastname_a","birthyear_a","zipcode_a","firstname_b","lastname_b","birthyear_b","zipcode_b","first_name_distance","last_name_distance","birth_year_distance","posterior_bin"
34,"William","Johnson",1985,16129,2,2,2,2,0.999606254813491,"William","Johnson",1985,16129,"William","Johnson",1985,16129,0,0,0,"(0.9,1]"
35,"David","Davis",1984,13217,2,2,2,2,0.999606254813491,"David","Davis",1984,13217,"David","Davis",1984,13217,0,0,0,"(0.9,1]"
36,"Sarah","Davis",1980,16937,2,2,2,2,0.999606254813491,"Sarah","Davis",1980,16937,"Sarah","Davis",1980,16937,0,0,0,"(0.9,1]"
37,"James","Jones",1995,13546,2,2,2,2,0.999606254813491,"James","Jones",1995,13546,"James","Jones",1995,13546,0,0,0,"(0.9,1]"
38,"Jane","Smith",1972,14570,2,2,0,2,0.953764941384782,"Jane","Smith",1972,14570,"Jane","Smith",1973,14570,0,0,1,"(0.9,1]"
39,"David","Johnson",1998,14383,2,0,2,2,0.9851868388166,"David","Johnson",1998,14383,"David","wuhnsog",1998,14383,0,3,0,"(0.9,1]"
40,"Emma","Garcia",1976,15603,2,0,2,2,0.9851868388166,"Emma","Garcia",1976,15603,"Emma","Garcoa",1976,15603,0,1,0,"(0.9,1]"
41,"Jane","Brown",1995,13044,2,2,2,2,0.999606254813491,"Jane","Brown",1995,13044,"Jane","Brown",1995,13044,0,0,0,"(0.9,1]"
42,"John","Jones",1998,17559,2,0,2,2,0.9851868388166,"John","Jones",1998,17559,"John","Jonii",1998,17559,0,2,0,"(0.9,1]"
43,"James","Johnson",1990,10295,2,2,2,2,0.999606254813491,"James","Johnson",1990,10295,"James","Johnson",1990,10295,0,0,0,"(0.9,1]"
44,"James","Jones",1974,17011,2,2,0,2,0.953764941384782,"James","Jones",1974,17011,"James","Jones",1972,17011,0,0,2,"(0.9,1]"
45,"Sarah","Miller",1971,14290,2,2,2,2,0.999606254813491,"Sarah","Miller",1971,14290,"Sarah","Miller",1971,14290,0,0,0,"(0.9,1]"
46,"David","Williams",1994,13563,2,2,2,2,0.999606254813491,"David","Williams",1994,13563,"David","Williams",1994,13563,0,0,0,"(0.9,1]"
47,"James","Smith",1987,12233,2,2,2,2,0.999606254813491,"James","Smith",1987,12233,"James","Smith",1987,12233,0,0,0,"(0.9,1]"
48,"Olivia","Martinez",1980,16813,2,0,2,2,0.9851868388166,"Olivia","Martinez",1980,16813,"Olivia","Mnriinxo",1980,16813,0,4,0,"(0.9,1]"
49,"Emily","Johnson",1973,13224,2,2,0,2,0.953764941384782,"Emily","Johnson",1973,13224,"Emily","Johnson",1971,13224,0,0,2,"(0.9,1]"
50,"Sarah","Martinez",1997,10183,0,0,2,2,0.637087109523096,"Sarah","Martinez",1997,10183,"Sazah","Maztnnyz",1997,10183,1,3,0,"(0.6,0.7]"
51,"Emma","Smith",1978,17694,2,2,2,2,0.999606254813491,"Emma","Smith",1978,17694,"Emma","Smith",1978,17694,0,0,0,"(0.9,1]"
52,"Sarah","Miller",1999,14126,2,0,2,2,0.9851868388166,"Sarah","Miller",1999,14126,"Sarah","Milaer",1999,14126,0,1,0,"(0.9,1]"
53,"Sarah","Smith",1970,13449,2,2,0,2,0.953764941384782,"Sarah","Smith",1970,13449,"Sarah","Smith",1971,13449,0,0,1,"(0.9,1]"
54,"William","Rodriguez",1972,19311,2,2,0,2,0.953764941384782,"William","Rodriguez",1972,19311,"William","Rodriguez",1973,19311,0,0,1,"(0.9,1]"
55,"John","Williams",1974,11215,2,0,2,2,0.9851868388166,"John","Williams",1974,11215,"John","Wjlliats",1974,11215,0,2,0,"(0.9,1]"
56,"Sarah","Garcia",1996,19852,2,2,0,2,0.953764941384782,"Sarah","Garcia",1996,19852,"Sarah","Garcia",1995,19852,0,0,1,"(0.9,1]"
57,"Jane","Rodriguez",1996,14396,0,2,2,2,0.985296268614473,"Jane","Rodriguez",1996,14396,"Jine","Rodriguez",1996,14396,1,0,0,"(0.9,1]"
58,"John","Rodriguez",2000,10654,0,2,2,2,0.985296268614473,"John","Rodriguez",2000,10654,"ecmi","Rodriguez",2000,10654,4,0,0,"(0.9,1]"
59,"Jane","Miller",1975,12725,0,0,2,2,0.637087109523096,"Jane","Miller",1975,12725,"izne","Mibler",1975,12725,2,1,0,"(0.6,0.7]"
60,"Emily","Jones",1983,13972,2,0,0,2,0.350824129674507,"Emily","Jones",1983,13972,"Emily","honzs",1982,13972,0,2,1,"(0.3,0.4]"
61,"David","Jones",1995,11458,2,2,2,2,0.999606254813491,"David","Jones",1995,11458,"David","Jones",1995,11458,0,0,0,"(0.9,1]"
62,"Sarah","Garcia",1992,17425,2,2,2,2,0.999606254813491,"Sarah","Garcia",1992,17425,"Sarah","Garcia",1992,17425,0,0,0,"(0.9,1]"
63,"Michael","Smith",1973,11292,2,0,2,2,0.9851868388166,"Michael","Smith",1973,11292,"Michael","Syinh",1973,11292,0,2,0,"(0.9,1]"
64,"James","Davis",1973,11441,0,2,0,2,0.352540029046541,"James","Davis",1973,11441,"fates","Davis",1974,11441,2,0,1,"(0.3,0.4]"
65,"Emily","Miller",1987,14656,2,2,2,2,0.999606254813491,"Emily","Miller",1987,14656,"Emily","Miller",1987,14656,0,0,0,"(0.9,1]"
66,"Sarah","Garcia",1982,19547,0,2,2,2,0.985296268614473,"Sarah","Garcia",1982,19547,"Sdqah","Garcia",1982,19547,2,0,0,"(0.9,1]"
67,"James","Williams",1970,12227,2,2,2,2,0.999606254813491,"James","Williams",1970,12227,"James","Williams",1970,12227,0,0,0,"(0.9,1]"
68,"James","Rodriguez",1982,16673,2,2,2,2,0.999606254813491,"James","Rodriguez",1982,16673,"James","Rodriguez",1982,16673,0,0,0,"(0.9,1]"
69,"William","Garcia",1981,12043,2,0,2,2,0.9851868388166,"William","Garcia",1981,12043,"William","tugcua",1981,12043,0,4,0,"(0.9,1]"
70,"Michael","Garcia",1972,14871,2,0,0,2,0.350824129674507,"Michael","Garcia",1972,14871,"Michael","Gaoail",1971,14871,0,3,1,"(0.3,0.4]"
71,"Emma","Smith",1989,14708,2,0,2,2,0.9851868388166,"Emma","Smith",1989,14708,"Emma","bmitu",1989,14708,0,2,0,"(0.9,1]"
72,"James","Johnson",1995,15179,2,2,2,2,0.999606254813491,"James","Johnson",1995,15179,"James","Johnson",1995,15179,0,0,0,"(0.9,1]"
73,"Michael","Jones",1977,11542,0,0,2,2,0.637087109523096,"Michael","Jones",1977,11542,"jqqhael","xqvav",1977,11542,3,5,0,"(0.6,0.7]"
74,"William","Rodriguez",2000,11045,2,2,0,2,0.953764941384782,"William","Rodriguez",2000,11045,"William","Rodriguez",2001,11045,0,0,1,"(0.9,1]"
75,"Michael","Miller",1989,19545,2,2,2,2,0.999606254813491,"Michael","Miller",1989,19545,"Michael","Miller",1989,19545,0,0,0,"(0.9,1]"
76,"William","Rodriguez",1996,15656,0,2,2,2,0.985296268614473,"William","Rodriguez",1996,15656,"Willizn","Rodriguez",1996,15656,2,0,0,"(0.9,1]"
77,"Sarah","Garcia",1970,16542,2,0,2,2,0.9851868388166,"Sarah","Garcia",1970,16542,"Sarah","eaxdss",1970,16542,0,5,0,"(0.9,1]"
78,"Olivia","Miller",1981,15878,2,2,0,2,0.953764941384782,"Olivia","Miller",1981,15878,"Olivia","Miller",1982,15878,0,0,1,"(0.9,1]"
79,"David","Williams",1980,17309,2,2,2,2,0.999606254813491,"David","Williams",1980,17309,"David","Williams",1980,17309,0,0,0,"(0.9,1]"
80,"David","Williams",1982,10596,0,2,0,2,0.352540029046541,"David","Williams",1982,10596,"aivkd","Williams",1981,10596,3,0,1,"(0.3,0.4]"
81,"Emma","Williams",1981,14938,2,0,2,2,0.9851868388166,"Emma","Williams",1981,14938,"Emma","pkllgprr",1981,14938,0,6,0,"(0.9,1]"
82,"Michael","Jones",1978,14841,2,2,2,2,0.999606254813491,"Michael","Jones",1978,14841,"Michael","Jones",1978,14841,0,0,0,"(0.9,1]"
83,"Olivia","Jones",1984,15698,0,2,2,2,0.985296268614473,"Olivia","Jones",1984,15698,"ilibil","Jones",1984,15698,3,0,0,"(0.9,1]"
84,"Jane","Jones",1993,12344,2,2,0,2,0.953764941384782,"Jane","Jones",1993,12344,"Jane","Jones",1992,12344,0,0,1,"(0.9,1]"
85,"Olivia","Brown",1975,18344,0,0,2,2,0.637087109523096,"Olivia","Brown",1975,18344,"Omhqix","Bttgp",1975,18344,4,4,0,"(0.6,0.7]"
86,"Jane","Williams",1970,13503,2,2,2,2,0.999606254813491,"Jane","Williams",1970,13503,"Jane","Williams",1970,13503,0,0,0,"(0.9,1]"
87,"Olivia","Garcia",1993,18458,2,2,0,2,0.953764941384782,"Olivia","Garcia",1993,18458,"Olivia","Garcia",1994,18458,0,0,1,"(0.9,1]"
88,"Sarah","Johnson",1988,17333,2,2,2,2,0.999606254813491,"Sarah","Johnson",1988,17333,"Sarah","Johnson",1988,17333,0,0,0,"(0.9,1]"
89,"Emily","Rodriguez",1973,17852,2,2,2,2,0.999606254813491,"Emily","Rodriguez",1973,17852,"Emily","Rodriguez",1973,17852,0,0,0,"(0.9,1]"
90,"John","Davis",1973,14299,2,2,2,2,0.999606254813491,"John","Davis",1973,14299,"John","Davis",1973,14299,0,0,0,"(0.9,1]"
91,"Sarah","Miller",1987,10139,2,2,2,2,0.999606254813491,"Sarah","Miller",1987,10139,"Sarah","Miller",1987,10139,0,0,0,"(0.9,1]"
92,"Michael","Jones",1997,18361,2,2,2,2,0.999606254813491,"Michael","Jones",1997,18361,"Michael","Jones",1997,18361,0,0,0,"(0.9,1]"
93,"Emma","Rodriguez",1980,10749,0,2,0,2,0.352540029046541,"Emma","Rodriguez",1980,10749,"Ezms","Rodriguez",1979,10749,2,0,1,"(0.3,0.4]"
94,"Michael","Miller",1979,16576,2,0,2,2,0.9851868388166,"Michael","Miller",1979,16576,"Michael","fwxler",1979,16576,0,3,0,"(0.9,1]"
95,"Emma","Garcia",1989,10656,2,2,0,2,0.953764941384782,"Emma","Garcia",1989,10656,"Emma","Garcia",1987,10656,0,0,2,"(0.9,1]"
96,"John","Miller",1981,17749,2,2,2,2,0.999606254813491,"John","Miller",1981,17749,"John","Miller",1981,17749,0,0,0,"(0.9,1]"
97,"William","Davis",1983,18488,0,2,2,2,0.985296268614473,"William","Davis",1983,18488,"Willigm","Davis",1983,18488,1,0,0,"(0.9,1]"
98,"William","Martinez",1977,15637,2,2,2,2,0.999606254813491,"William","Martinez",1977,15637,"William","Martinez",1977,15637,0,0,0,"(0.9,1]"
99,"William","Brown",1991,18170,2,2,2,2,0.999606254813491,"William","Brown",1991,18170,"William","Brown",1991,18170,0,0,0,"(0.9,1]"
100,"Olivia","Johnson",1976,11916,2,2,2,2,0.999606254813491,"Olivia","Johnson",1976,11916,"Olivia","Johnson",1976,11916,0,0,0,"(0.9,1]"
4303,"David","Davis",1986,10246,0,0,2,2,0.637087109523096,"David","Davis",1986,10246,"David","dssjg",1987,10246,0,5,1,"(0.6,0.7]"
102,"William","Rodriguez",1979,15312,2,2,0,2,0.953764941384782,"William","Rodriguez",1979,15312,"William","Rodriguez",1981,15312,0,0,2,"(0.9,1]"
103,"Olivia","Miller",1989,15619,2,2,2,2,0.999606254813491,"Olivia","Miller",1989,15619,"Olivia","Miller",1989,15619,0,0,0,"(0.9,1]"
104,"David","Rodriguez",1977,17290,2,2,2,2,0.999606254813491,"David","Rodriguez",1977,17290,"David","Rodriguez",1977,17290,0,0,0,"(0.9,1]"
105,"Sarah","Miller",1987,15805,0,2,2,2,0.985296268614473,"Sarah","Miller",1987,15805,"jpevk","Miller",1987,15805,5,0,0,"(0.9,1]"
106,"Emma","Williams",1980,17220,0,2,2,2,0.985296268614473,"Emma","Williams",1980,17220,"Efmt","Williams",1980,17220,2,0,0,"(0.9,1]"
107,"David","Miller",1985,18739,0,0,2,2,0.637087109523096,"David","Miller",1985,18739,"Dwjid","vilnrr",1985,18739,2,3,0,"(0.6,0.7]"
108,"William","Davis",1982,18973,2,2,2,2,0.999606254813491,"William","Davis",1982,18973,"William","Davis",1982,18973,0,0,0,"(0.9,1]"
109,"Emily","Miller",1979,19168,2,2,2,2,0.999606254813491,"Emily","Miller",1979,19168,"Emily","Miller",1979,19168,0,0,0,"(0.9,1]"
110,"Michael","Jones",1990,14620,2,2,2,2,0.999606254813491,"Michael","Jones",1990,14620,"Michael","Jones",1990,14620,0,0,0,"(0.9,1]"
111,"James","Johnson",1984,13723,2,2,0,2,0.953764941384782,"James","Johnson",1984,13723,"James","Johnson",1985,13723,0,0,1,"(0.9,1]"
112,"William","Martinez",1992,18121,2,2,2,2,0.999606254813491,"William","Martinez",1992,18121,"William","Martinez",1992,18121,0,0,0,"(0.9,1]"
113,"Sarah","Williams",1982,15819,2,2,2,2,0.999606254813491,"Sarah","Williams",1982,15819,"Sarah","Williams",1982,15819,0,0,0,"(0.9,1]"
114,"Olivia","Davis",1997,17199,0,2,2,2,0.985296268614473,"Olivia","Davis",1997,17199,"Olywia","Davis",1997,17199,2,0,0,"(0.9,1]"
115,"James","Rodriguez",1987,10468,2,2,0,2,0.953764941384782,"James","Rodriguez",1987,10468,"James","Rodriguez",1985,10468,0,0,2,"(0.9,1]"
116,"William","Davis",1980,19049,2,0,0,2,0.350824129674507,"William","Davis",1980,19049,"William","cavis",1981,19049,0,1,1,"(0.3,0.4]"
117,"Jane","Rodriguez",1988,15910,2,2,0,2,0.953764941384782,"Jane","Rodriguez",1988,15910,"Jane","Rodriguez",1989,15910,0,0,1,"(0.9,1]"
118,"Michael","Martinez",1996,17566,2,2,2,2,0.999606254813491,"Michael","Martinez",1996,17566,"Michael","Martinez",1996,17566,0,0,0,"(0.9,1]"
119,"Emma","Davis",1975,19083,2,0,2,2,0.9851868388166,"Emma","Davis",1975,19083,"Emma","Dogry",1975,19083,0,4,0,"(0.9,1]"
120,"Emily","Brown",1993,10948,2,0,0,2,0.350824129674507,"Emily","Brown",1993,10948,"Emily","Bdown",1995,10948,0,1,2,"(0.3,0.4]"
121,"William","Rodriguez",1994,15223,2,2,2,2,0.999606254813491,"William","Rodriguez",1994,15223,"William","Rodriguez",1994,15223,0,0,0,"(0.9,1]"
122,"Emily","Brown",1996,15880,2,2,0,2,0.953764941384782,"Emily","Brown",1996,15880,"Emily","Brown",1995,15880,0,0,1,"(0.9,1]"
123,"John","Miller",1992,12563,2,2,2,2,0.999606254813491,"John","Miller",1992,12563,"John","Miller",1992,12563,0,0,0,"(0.9,1]"
124,"Emma","Johnson",1988,10566,2,0,0,2,0.350824129674507,"Emma","Johnson",1988,10566,"Emma","Joinson",1987,10566,0,1,1,"(0.3,0.4]"
125,"Emily","Williams",1988,13437,2,0,0,2,0.350824129674507,"Emily","Williams",1988,13437,"Emily","avilifby",1989,13437,0,6,1,"(0.3,0.4]"
126,"James","Rodriguez",1999,17133,2,0,2,2,0.9851868388166,"James","Rodriguez",1999,17133,"James","Rodrhguev",1999,17133,0,2,0,"(0.9,1]"
127,"Emma","Williams",1985,12615,0,2,2,2,0.985296268614473,"Emma","Williams",1985,12615,"pmvr","Williams",1985,12615,3,0,0,"(0.9,1]"
128,"Sarah","Brown",1972,13665,2,2,2,2,0.999606254813491,"Sarah","Brown",1972,13665,"Sarah","Brown",1972,13665,0,0,0,"(0.9,1]"
129,"Emily","Johnson",1986,18798,2,2,2,2,0.999606254813491,"Emily","Johnson",1986,18798,"Emily","Johnson",1986,18798,0,0,0,"(0.9,1]"
130,"Emma","Smith",1980,15647,2,2,2,2,0.999606254813491,"Emma","Smith",1980,15647,"Emma","Smith",1980,15647,0,0,0,"(0.9,1]"
131,"Michael","Johnson",1997,15086,2,0,2,2,0.9851868388166,"Michael","Johnson",1997,15086,"Michael","Jwmnsot",1997,15086,0,3,0,"(0.9,1]"
132,"Emily","Williams",1994,16910,0,2,2,2,0.985296268614473,"Emily","Williams",1994,16910,"Emxls","Williams",1994,16910,2,0,0,"(0.9,1]"
133,"Emily","Miller",1994,10443,2,0,2,2,0.9851868388166,"Emily","Miller",1994,10443,"Emily","Miqlqr",1994,10443,0,2,0,"(0.9,1]"
134,"Sarah","Brown",1978,12385,2,2,2,2,0.999606254813491,"Sarah","Brown",1978,12385,"Sarah","Brown",1978,12385,0,0,0,"(0.9,1]"
135,"John","Johnson",1992,19875,2,2,0,2,0.953764941384782,"John","Johnson",1992,19875,"John","Johnson",1993,19875,0,0,1,"(0.9,1]"
136,"Olivia","Jones",1986,19825,2,2,2,2,0.999606254813491,"Olivia","Jones",1986,19825,"Olivia","Jones",1986,19825,0,0,0,"(0.9,1]"
137,"Emily","Martinez",1994,14372,2,2,2,2,0.999606254813491,"Emily","Martinez",1994,14372,"Emily","Martinez",1994,14372,0,0,0,"(0.9,1]"
138,"James","Brown",1974,14963,2,2,0,2,0.953764941384782,"James","Brown",1974,14963,"James","Brown",1972,14963,0,0,2,"(0.9,1]"
139,"William","Martinez",2000,16147,0,2,2,2,0.985296268614473,"William","Martinez",2000,16147,"svruivj","Martinez",2000,16147,6,0,0,"(0.9,1]"
140,"Emma","Williams",1972,15543,2,2,2,2,0.999606254813491,"Emma","Williams",1972,15543,"Emma","Williams",1972,15543,0,0,0,"(0.9,1]"
141,"David","Jones",1972,13942,2,2,2,2,0.999606254813491,"David","Jones",1972,13942,"David","Jones",1972,13942,0,0,0,"(0.9,1]"
142,"Jane","Smith",1989,11737,0,2,0,2,0.352540029046541,"Jane","Smith",1989,11737,"cmnr","Smith",1987,11737,3,0,2,"(0.3,0.4]"
143,"Sarah","Rodriguez",1985,12133,2,0,2,2,0.9851868388166,"Sarah","Rodriguez",1985,12133,"Sarah","Rodricuez",1985,12133,0,1,0,"(0.9,1]"
144,"James","Williams",1989,12272,2,0,2,2,0.9851868388166,"James","Williams",1989,12272,"James","rrrliams",1989,12272,0,3,0,"(0.9,1]"
145,"Emma","Miller",1986,18716,2,0,2,2,0.9851868388166,"Emma","Miller",1986,18716,"Emma","Mizlkr",1986,18716,0,2,0,"(0.9,1]"
146,"Olivia","Martinez",1972,12013,2,2,2,2,0.999606254813491,"Olivia","Martinez",1972,12013,"Olivia","Martinez",1972,12013,0,0,0,"(0.9,1]"
147,"Emily","Johnson",1970,12606,0,0,2,2,0.637087109523096,"Emily","Johnson",1970,12606,"Ehidy","ythbiop",1970,12606,2,5,0,"(0.6,0.7]"
148,"David","Smith",1998,18554,2,2,2,2,0.999606254813491,"David","Smith",1998,18554,"David","Smith",1998,18554,0,0,0,"(0.9,1]"
149,"William","Smith",1981,12261,2,0,0,2,0.350824129674507,"William","Smith",1981,12261,"William","Smirh",1983,12261,0,1,2,"(0.3,0.4]"
150,"John","Jones",1996,19008,2,2,2,2,0.999606254813491,"John","Jones",1996,19008,"John","Jones",1996,19008,0,0,0,"(0.9,1]"
151,"Emma","Jones",1977,18641,2,0,2,2,0.9851868388166,"Emma","Jones",1977,18641,"Emma","vodeg",1977,18641,0,3,0,"(0.9,1]"
152,"Emma","Rodriguez",1988,12484,2,2,0,2,0.953764941384782,"Emma","Rodriguez",1988,12484,"Emma","Rodriguez",1990,12484,0,0,2,"(0.9,1]"
153,"Olivia","Johnson",1995,10787,2,2,2,2,0.999606254813491,"Olivia","Johnson",1995,10787,"Olivia","Johnson",1995,10787,0,0,0,"(0.9,1]"
154,"James","Davis",1991,14544,2,0,2,2,0.9851868388166,"James","Davis",1991,14544,"James","Davfs",1991,14544,0,1,0,"(0.9,1]"
155,"Emma","Smith",1981,17950,0,2,2,2,0.985296268614473,"Emma","Smith",1981,17950,"amja","Smith",1981,17950,2,0,0,"(0.9,1]"
156,"Jane","Jones",1976,10984,2,0,0,2,0.350824129674507,"Jane","Jones",1976,10984,"Jane","Jpnhs",1977,10984,0,2,1,"(0.3,0.4]"
157,"David","Jones",1974,17393,0,0,2,2,0.637087109523096,"David","Jones",1974,17393,"jrvyd","Jyfes",1974,17393,3,2,0,"(0.6,0.7]"
158,"James","Johnson",1987,11200,2,2,2,2,0.999606254813491,"James","Johnson",1987,11200,"James","Johnson",1987,11200,0,0,0,"(0.9,1]"
159,"William","Jones",1981,15308,2,2,2,2,0.999606254813491,"William","Jones",1981,15308,"William","Jones",1981,15308,0,0,0,"(0.9,1]"
160,"William","Smith",1975,19268,0,2,2,2,0.985296268614473,"William","Smith",1975,19268,"yiakiam","Smith",1975,19268,3,0,0,"(0.9,1]"
161,"Olivia","Rodriguez",1998,17821,2,0,0,2,0.350824129674507,"Olivia","Rodriguez",1998,17821,"Olivia","Rodtiguez",2000,17821,0,1,2,"(0.3,0.4]"
162,"Olivia","Smith",1970,17559,2,0,2,2,0.9851868388166,"Olivia","Smith",1970,17559,"Olivia","Smiff",1970,17559,0,2,0,"(0.9,1]"
163,"Emma","Williams",1971,16664,0,2,2,2,0.985296268614473,"Emma","Williams",1971,16664,"Emmb","Williams",1971,16664,1,0,0,"(0.9,1]"
164,"Sarah","Rodriguez",1975,11045,2,2,2,2,0.999606254813491,"Sarah","Rodriguez",1975,11045,"Sarah","Rodriguez",1975,11045,0,0,0,"(0.9,1]"
165,"William","Martinez",1977,19165,2,2,2,2,0.999606254813491,"William","Martinez",1977,19165,"William","Martinez",1977,19165,0,0,0,"(0.9,1]"
166,"Olivia","Rodriguez",1977,19460,2,2,0,2,0.953764941384782,"Olivia","Rodriguez",1977,19460,"Olivia","Rodriguez",1976,19460,0,0,1,"(0.9,1]"
167,"John","Garcia",1997,15757,0,2,0,2,0.352540029046541,"John","Garcia",1997,15757,"Joen","Garcia",1998,15757,1,0,1,"(0.3,0.4]"
168,"James","Smith",1979,13359,2,2,2,2,0.999606254813491,"James","Smith",1979,13359,"James","Smith",1979,13359,0,0,0,"(0.9,1]"
169,"Michael","Davis",1975,14965,2,2,2,2,0.999606254813491,"Michael","Davis",1975,14965,"Michael","Davis",1975,14965,0,0,0,"(0.9,1]"
170,"Olivia","Smith",1977,14149,0,0,2,2,0.637087109523096,"Olivia","Smith",1977,14149,"alifvk","Smimh",1977,14149,4,1,0,"(0.6,0.7]"
171,"David","Jones",1985,13329,0,2,2,2,0.985296268614473,"David","Jones",1985,13329,"vavie","Jones",1985,13329,2,0,0,"(0.9,1]"
